,Id,RaceTime,Race,Type,Class,AgeLimit,Ran,Yards,TotalBtn,Sp,Age,WeightLBS,Trainer,Jockey,Going 2,HorseName2,Course2,Region2,predictions,totalbtn_rank,predictions_rank,sp_rank
29335,44306116,18:00,advertiser ladies day handicap,nan,6.0,3yo only,11.0,1094.0,0.0,5.499999999999998,3.0,135.0,t d easterby,d allan,standard,Dan De Light,southwell,eng,6.9436703,1.0,1.0,3.0
29677,44307105,16:00,racing tv profits returned to racing handicap,nan,5.0,4yo plus,7.0,2653.0,4.75,5.499999999999998,4.0,130.0,m todhunter,g lee,good to firm,Molinari,catterick,eng,8.427131,3.0,1.0,3.0
29743,44307113,18:40,free tips daily on attheraces.com handicap,nan,5.0,4yo plus,7.0,1321.0,1.2,4.000000000000002,7.0,127.0,m j attwater,rhys clutterbuck,standard,Cappananty Con,lingfield,eng,1.0207616,3.0,1.0,3.0
29965,44307141,18:50,irishinjuredjockeys.com handicap,nan,0.0,4yo plus,12.0,1540.0,5.8,5.0,5.0,133.0,j c mcconnell,r p cleary,standard,Beleaguerment,dundalk ,ire,1.7852145,9.0,1.0,3.0
30435,44309113,16:00,download the at the races app fillies' handicap,nan,5.0,4yo plus,8.0,1322.0,2.4,3.0,4.0,130.0,c f wall,jack mitchell,good to firm,Molly Shaw,doncaster,eng,-0.8881988,4.0,1.0,3.0
30989,44310127,15:50,visit attheraces.com handicap,nan,2.0,4yo plus,3.0,3520.0,0.15,4.5,4.0,117.0,m johnston,oliver stammers,good to firm,Notation,ripon,eng,8.176616,2.0,1.0,3.0
31477,44312103,14:10,william hill extra places every day handicap,nan,3.0,4yo plus,6.0,1319.9999999999998,3.0,4.000000000000002,9.0,123.0,r a fahey,p hanagan,good to firm,George Bowen,ayr,eng,3.0127544,3.0,1.0,3.0
31536,44312111,15:35,follow at the races on twitter handicap,nan,4.0,4yo plus,6.0,1761.0,5.95,7.5,4.0,133.0,joseph parr,hollie doyle,standard,Conscious,lingfield,eng,2.3234158,5.0,1.0,3.0
31540,44312112,16:05,sky sports racing hd virgin 535 handicap,nan,6.0,4yo plus,7.0,2200.0,1.35,4.000000000000002,7.0,128.0,j tuite,rhys clutterbuck,standard,Redgrave,lingfield,eng,2.5011902,4.0,1.0,3.0
31741,44312132,18:20,free tips daily on attheraces.com handicap,nan,4.0,4yo plus,7.0,2200.0,11.05,5.0,5.0,133.0,george baker,nicola currie,good to firm,Waters Edge,windsor,eng,4.8342323,5.0,1.0,3.0
31781,44312136,13:25,irish stallion farms ebf fillies maiden,nan,0.0,2yo only,10.0,1305.0,13.1,4.5,2.0,128.0,donnacha obrien,g m ryan,good,Simply Glorious ,naas ,ire,2.110695,8.0,1.0,3.0
31955,44313110,15:00,follow at the races on twitter handicap,nan,6.0,4yo plus,8.0,1315.0,6.7,5.0,8.0,127.0,ali stronge,hollie doyle,good to firm,Storm Melody,brighton,eng,3.7817593,8.0,1.0,3.0
32298,44314108,16:45,sky sports racing on sky 415 handicap,nan,5.0,3yo only,4.0,1160.0,0.5,3.0,3.0,115.0,m r channon,nicola currie,good to firm,Nodsasgoodasawink,brighton,eng,0.8253165,2.0,1.0,3.0
32740,44315119,16:00,william hill betting tv handicap,nan,6.0,3yo only,8.0,1100.9999999999998,1.45,6.0,3.0,127.0,grant tuer,s h james,good,Royal Jazz,musselburgh,eng,-0.43911543,3.0,1.0,3.0
33145,44316126,15:35,william hill play responsibly handicap,nan,4.0,4yo plus,7.0,1100.9999999999998,6.4,5.499999999999998,7.0,125.0,t d easterby,d allan,good,Afandem,musselburgh,eng,1.7003547,6.0,1.0,3.0
33146,44316127,16:05,william hill racing radio handicap,nan,3.0,4yo plus,3.0,2744.0,0.0,2.5,9.0,118.0,t d easterby,d allan,good,Mukhayyam,musselburgh,eng,0.43242845,1.0,1.0,3.0
33294,44316143,19:05,salessense international novice hurdle,h,0.0,4yo plus,15.0,3520.0,14.65,4.5,6.0,161.0,joseph p obrien,j w kennedy,yielding,Fire Attack,punchestown ,ire,11.244036,5.0,1.0,3.0
33358,44317106,19:40,download the at the races app handicap,nan,4.0,4yo plus,4.0,3629.0,0.0,2.125,6.0,132.0,ian williams,b a curtis,good to firm,Ship Of The Fen,doncaster,eng,7.4059258,1.0,1.0,3.0
36279,44324110,14:35,pertemps network conditions stakes,nan,2.0,3yo plus,4.0,1319.9999999999998,0.0,3.0,7.0,131.0,r varian,e j walsh,heavy,Cape Byron,haydock,eng,6.0827484,1.0,1.0,3.0
37374,44326134,17:30,sky sports racing sky 415 novice stakes,nan,5.0,3yo plus,10.0,1121.0,7.25,3.3333329999999997,3.0,131.0,richard hughes,r l moore,good to soft,Elektronic,windsor,eng,4.3391466,5.0,1.0,3.0
37537,44327104,19:05,visit racingtv.com handicap,nan,6.0,4yo plus,12.0,1590.0,0.0,5.499999999999998,8.0,126.0,j s goldie,harry russell,good,Tommy G,ayr,eng,2.4458008,1.0,1.0,3.0
37735,44327127,18:10,irish examiner handicap,nan,0.0,3yo only,11.0,1791.0,5.25,4.5,3.0,132.0,ms sheila lavery,r c colgan,soft,Supershock,killarney ,ire,3.3831968,6.0,1.0,3.0
38057,44328119,15:00,download the at the races app handicap hurdle,h,4.0,4yo plus,8.0,3520.0,0.0,3.5,6.0,153.0,dr r d p newland,sam twiston-davies,good,Blue Ribbon,worcester,eng,10.724185,1.0,1.0,3.0
38400,44329119,15:00,edinburgh gin handicap chase,c,4.0,5yo plus,6.0,5240.0,28.0,3.0,10.0,168.0,dr r d p newland,sam twiston-davies,soft,Whoshotwho,perth,eng,18.582964,4.0,1.0,3.0
39863,44332120,15:40,sole power sprint stakes (listed race),nan,1.0,3yo plus,10.0,1100.0,0.0,5.499999999999998,3.0,129.0,m j browne,j a heffernan,soft,Logo Hunter,naas ,ire,6.0400333,1.0,1.0,3.0
39887,44332122,16:40,goffs lacken stakes (group 3),nan,1.0,3yo only,9.0,1305.0,6.9,7.5,3.0,128.0,j g murphy,g f carroll,soft,Pale Iris,naas ,ire,4.8696632,8.0,1.0,3.0
41607,44337103,14:25,signs express handicap,nan,6.0,3yo only,12.0,2237.0,10.55,5.0,3.0,122.0,a king,thore hammer hansen,soft,Tinchoo,bath,eng,3.801611,4.0,1.0,3.0
41712,44337114,20:20,every race live on racing tv handicap,nan,5.0,4yo plus,5.0,3052.0,15.75,2.75,6.0,128.0,s dixon,jonathan fisher,heavy,Sociologist ,catterick,eng,6.923549,4.0,1.0,3.0
41820,44337128,15:50,every race live on racing tv handicap,nan,5.0,3yo only,7.0,1797.0,9.2,4.5,3.0,123.0,charlie fellowes,louis steward,heavy,Deputy,haydock,eng,7.887942,4.0,1.0,3.0
41833,44337130,17:40,mansionbet best odds guaranteed handicap chase,c,4.0,5yo plus,7.0,3630.0,5.5,3.5,7.0,161.0,t symonds,benjamin poste,good to soft,Meteorite,worcester,eng,11.794372,3.0,1.0,3.0
43181,44341138,17:45,mchale mayo handicap hurdle,h,0.0,4yo plus,11.0,4840.0,3.25,5.0,7.0,153.0,t mullins,j b foley,soft to heavy,It Could Be You,ballinrobe ,ire,10.898888,3.0,1.0,3.0
43221,44341141,19:15,mchale tiger roll beginners chase,c,0.0,4yo plus,14.0,3740.0,50.45,3.5,6.0,163.0,g p cromwell,j b kane,soft to heavy,You Say Nothing,ballinrobe ,ire,7.7464514,9.0,1.0,3.0
44500,44345120,16:50,every race live on racing tv handicap,nan,4.0,3yo only,9.0,1546.0,11.17,3.5,3.0,128.0,ollie pears,ben robinson,good to soft,Crown Princess,catterick,eng,3.3058357,8.0,1.0,3.0
44708,44345143,16:40,betway casino handicap,nan,4.0,3yo only,9.0,1577.0,1.77,4.5,3.0,125.0,a m balding,s de sousa,good to soft,Melody Of Life,haydock,eng,3.9828491,2.0,1.0,3.0
45044,44346124,13:45,lynn lodge stud irish ebf maiden,nan,0.0,2yo only,7.0,1100.0,1.5,3.5,2.0,133.0,donnacha obrien,g m ryan,yielding,Shinkansen ,navan ,ire,5.0595646,2.0,1.0,3.0
45284,44347106,16:10,molson coors handicap chase,c,3.0,5yo plus,9.0,4654.0,0.0,5.499999999999998,8.0,157.0,l j morgan,adam wedge,good,Fire Away,cartmel,eng,12.646045,1.0,1.0,3.0
45384,44347117,17:55,tote.co.uk now never beaten by sp handicap,nan,6.0,3yo only,11.0,1100.0,7.0,5.499999999999998,3.0,132.0,m blake,marco ghiani,standard,Tenth Century,chelmsford city,eng,4.7063093,5.0,1.0,3.0
45487,44347129,14:50,persimmon homes @ appleyard fleckney handicap,nan,4.0,4yo plus,7.0,1813.0,2.4,6.0,7.0,136.0,joseph parr,k shoemark,good,Enigmatic,leicester,eng,1.2606183,3.0,1.0,3.0
45550,44347137,16:05,watch on racing tv handicap,nan,5.0,3yo only,13.0,1100.0,0.2,4.000000000000002,3.0,131.0,k a ryan,kevin stott,good,Sound Reason,redcar,eng,3.03518,3.0,1.0,3.0
45906,44348104,14:45,watch free race replays on attheraces.com handicap,nan,6.0,4yo plus,6.0,2187.0,9.75,3.1999999999999993,6.0,128.0,adam west,charlie bennett,good to firm,Couldnt Could She,brighton,eng,5.5433645,5.0,1.0,3.0
45911,44348105,15:20,racing welfare handicap,nan,6.0,4yo plus,9.0,1756.0,3.25,3.3333329999999997,4.0,133.0,m wigham,j fanning,good to firm,Cap Dantibes,brighton,eng,2.6376295,4.0,1.0,3.0
46045,44348120,19:50,cash out at bet365 handicap,nan,5.0,3yo only,10.0,1319.9999999999998,6.5,7.5,3.0,120.0,c mason,william cox,good to firm,Glamorous Breeze,lingfield,eng,-2.1720057,3.0,1.0,3.0
46203,44348134,19:30,free tips daily on attheraces.com handicap,nan,4.0,3yo only,6.0,1322.9999999999998,1.0,3.5,3.0,131.0,m r channon,charles bishop,good to firm,Smeatons Light,yarmouth,eng,3.4175444,2.0,1.0,3.0
46831,44350105,19:00,tote.co.uk free streaming every uk race handicap,nan,6.0,4yo plus,10.0,3080.0,12.75,3.5,4.0,118.0,s c williams,marco ghiani,standard,Big Brown,chelmsford city,eng,8.266923,5.0,1.0,3.0
47040,44350128,19:45,bet at racingtv.com handicap,nan,6.0,4yo plus,12.0,2648.0,7.0,9.0,6.0,112.0,w storey,rhona pindar,good to firm,Tarnhelm,thirsk,eng,6.882095,9.0,1.0,3.0
47229,44351101,17:35,download the free at the races app handicap,nan,6.0,4yo plus,12.0,1260.0,6.75,5.499999999999998,11.0,118.0,a w carroll,saffie osborne,good to firm,Top Boy,bath,eng,3.3924656,6.0,1.0,3.0
47328,44351112,15:35,millbry hill handicap,nan,4.0,4yo plus,8.0,1312.0,3.0,4.000000000000002,5.0,130.0,t davidson,phil dennis,good to firm,Pearl Of Qatar,catterick,eng,3.2547913,3.0,1.0,3.0
48298,44352165,15:55,irish stallion farms ebf (mares) inh flat race,b,0.0,4yo to 7yo,14.0,3695.0,4.5,5.499999999999998,4.0,153.0,d coffey,mr d allen,good to yielding,Copper Nation,tramore ,ire,7.662838,4.0,1.0,3.0
48380,44353109,14:35,bet365 handicap chase,c,3.0,5yo plus,12.0,4420.0,0.0,7.0,8.0,147.0,w coltherd,sam coltherd,good,Pookie Pekan,perth,eng,12.750466,1.0,1.0,3.0
48514,44353121,16:45,follow kilbeggan on facebook handicap chase,c,0.0,5yo plus,14.0,5500.0,6.25,4.5,8.0,153.0,j motherway,h morgan,good,Goodnightngodbless,kilbeggan ,ire,13.019131,2.0,1.0,3.0
48675,44354106,15:30,watch on racing tv handicap,nan,4.0,4yo plus,8.0,1540.0,9.5,6.0,6.0,116.0,j l eyre,david egan,good to firm,Moretti,leicester,eng,1.4041129,7.0,1.0,3.0
49134,44355109,13:35,mansionbet proud to support british racing handicap,nan,6.0,3yo only,9.0,1319.9999999999998,3.0,5.499999999999998,3.0,132.0,r hannon,p j dobbs,good to firm,Lexington Liberty,salisbury,eng,7.464473,3.0,1.0,3.0
50081,44357129,20:10,sky sports racing sky 415 handicap hurdle,h,5.0,4yo plus,18.0,4387.0,14.85,4.5,9.0,144.0,johnny farrelly,brendan powell,good,Outlaw Jack,uttoxeter,eng,10.890295,8.0,1.0,3.0
50110,44357132,14:00,sky sports racing hd virgin 535 handicap (div 2),nan,6.0,3yo only,10.0,1322.9999999999998,0.0,5.0,3.0,119.0,amy murphy,stefano cherchi,good to firm,Love Baileys,yarmouth,eng,3.3205633,1.0,1.0,3.0
50151,44357138,17:30,download the free at the races app handicap,nan,6.0,4yo plus,7.0,1543.0,0.0,3.3333329999999997,7.0,120.0,c f wall,sebastian woods,good to firm,Hi Ho Silver,yarmouth,eng,4.456094,1.0,1.0,3.0
50166,44357140,16:50,irish stallion farms ebf fillies & mares maiden,nan,0.0,3yo plus,12.0,1501.0,0.92,6.5,3.0,128.0,w mccreery,w j lee,good,Bipartisanship,leopardstown ,ire,8.273708,4.0,1.0,3.0
50274,44358104,19:25,racing welfare handicap hurdle,h,3.0,4yo plus,11.0,3623.0,0.0,6.5,7.0,160.0,sheila lewis,ben jones,good,Cotton End,aintree,eng,14.903404,1.0,1.0,3.0
50573,44358141,16:35,irish thoroughbred marketing handicap,nan,3.0,4yo plus,16.0,1540.0,1.9,5.499999999999998,7.0,124.0,d carroll,harrison shaw,good to firm,Shawaamekh,york,eng,1.2438604,5.0,1.0,3.0
50681,44358151,15:50,irish stallion farms ebf maiden,nan,0.0,2yo only,13.0,1319.9999999999998,0.0,4.000000000000002,2.0,133.0,donnacha obrien,g m ryan,good to firm,Silver Surfer,fairyhouse ,ire,3.8425245,1.0,1.0,3.0
50831,44359107,13:40,racing welfare supporting racings workforce handicap,nan,3.0,3yo only,5.0,1115.0,0.55,3.5,3.0,118.0,m dods,connor beasley,good to firm,Havagomecca,chester,eng,4.5242004,3.0,1.0,3.0
51155,44359148,17:25,sky bet handicap,nan,4.0,3yo plus,19.0,1319.9999999999998,4.77,7.5,3.0,127.0,joseph parr,tom marquand,good to firm,Prince Of Bel Lir,york,eng,3.4023476,9.0,1.0,3.0
51167,44359149,13:30,irish stallion farms ebf mares maiden hurdle,h,0.0,4yo plus,9.0,4125.0,12.0,4.000000000000002,5.0,148.0,e doyle,m p oconnor,good,Optional Mix,downpatrick ,ni,10.269931,2.0,1.0,3.0
51383,44360104,15:15,download the free at the races app handicap,nan,3.0,3yo plus,5.0,1103.0,1.3,4.5,6.0,129.0,n tinkler,faye mcmanoman,good to firm,Ginger Jam,doncaster,eng,3.0709562,5.0,1.0,3.0
51388,44360105,15:45,sky sports racing hd virgin 535 handicap,nan,4.0,3yo only,6.0,1753.0,6.4,3.5,3.0,125.0,sir mark prescott,l morris,good to firm,Jebel Dukhan,doncaster,eng,3.7695189,4.0,1.0,3.0
51528,44360123,14:00,irish stallion farms ebf maiden,nan,0.0,2yo only,6.0,1540.0,0.15,2.75,2.0,133.0,donnacha obrien,g m ryan,good,Unconquerable,gowran park ,ire,1.3328935,2.0,1.0,3.0
52091,44362104,16:20,st james's palace stakes (group 1) (british champions series) (colts),nan,1.0,3yo only,13.0,1753.0,5.7,5.499999999999998,3.0,126.0,r hannon,p j dobbs,good to firm,Chindit,ascot,eng,4.377822,5.0,1.0,3.0
52215,44362115,17:45,royal ascot on sky sports racing handicap,nan,6.0,3yo plus,7.0,1160.0,0.15,4.000000000000002,11.0,122.0,a w carroll,david probert,good to firm,Top Boy,brighton,eng,6.147503,2.0,1.0,3.0
52545,44363106,17:35,windsor castle stakes (listed race),nan,1.0,2yo only,27.0,1100.0,3.15,7.5,2.0,129.0,k r burke,c lee,good to firm,Kaboo ,ascot,eng,2.4735012,6.0,1.0,3.0
52988,44363151,16:45,tuskar handicap chase,c,0.0,5yo plus,11.0,5570.0,27.55,7.5,9.0,154.0,roger mcgrath,l quinlan,yielding,Something Sweet,wexford ,ire,15.059695,6.0,1.0,3.0
53436,44365104,16:20,coronation stakes (group 1) (british champions series) (fillies),nan,1.0,3yo only,11.0,1753.0,0.0,5.499999999999998,3.0,126.0,a m balding,oisin murphy,heavy,Alcohol Free,ascot,eng,9.811352,1.0,1.0,3.0
53672,44365131,13:20,future ticketing mares hurdle,h,0.0,4yo plus,7.0,3620.0,6.0,14.0,9.0,144.0,mrs d foster,j r wildman,good to yielding,Make My Heart Fly,down royal ,ni,13.408607,1.0,1.0,3.0
56277,44373102,14:45,retraining of racehorses handicap,nan,3.0,3yo plus,8.0,1115.0,1.25,5.0,3.0,135.0,d carroll,harrison shaw,good,First Company,chester,eng,1.4774381,5.0,1.0,3.0
56358,44373111,18:45,sky sports racing sky 415 handicap,nan,4.0,3yo only,6.0,1242.9999999999998,3.7,3.3333329999999997,3.0,129.0,k a ryan,s a gray,good to soft,Signora Princess,doncaster,eng,4.3370476,5.0,1.0,3.0
56669,44373140,15:45,dubai duty free irish derby (group 1),nan,1.0,3yo only,11.0,2640.0,0.2,5.499999999999998,3.0,128.0,m meade,l dettori,good,Lone Eagle,curragh ,ire,5.5355062,2.0,1.0,3.0
56955,44374127,15:40,alwasmiyah pretty polly stakes (group 1) (fillies & mares),nan,1.0,3yo plus,8.0,2200.0,0.0,3.1999999999999993,4.0,138.0,joseph p obrien,s m crosse,good to firm,Thundering Nights,curragh ,ire,4.7669907,1.0,1.0,3.0
56971,44374129,16:45,"irish stallion farms ebf ""ragusa"" handicap (premier handicap)",nan,0.0,4yo plus,10.0,2640.0,1.25,4.000000000000002,4.0,126.0,joseph p obrien,d mcmonagle,good to firm,Vultan,curragh ,ire,6.799266,2.0,1.0,3.0
57552,44377103,18:55,sky sports racing hd virgin 535 maiden stakes,nan,4.0,3yo plus,10.0,1760.0,1.5,3.3333329999999997,3.0,122.0,s bin suroor,marco ghiani,good to firm,Karuoka,bath,eng,6.789712,2.0,1.0,3.0
57701,44377118,15:30,visit racingtv.com handicap,nan,3.0,3yo plus,5.0,1573.0,3.8,6.5,6.0,129.0,t d easterby,d fentiman,good to firm,True Blue Moon,musselburgh,eng,2.45288,4.0,1.0,3.0
58669,44379126,16:50,william hill leading racecourse bookmaker handicap chase,c,4.0,4yo plus,9.0,5670.0,14.25,4.5,7.0,161.0,n p mulholland,sam twiston-davies,good,Heavey,newton abbot,eng,11.257862,5.0,1.0,3.0
58696,44379131,16:05,davies insurance services gala stakes (listed race),nan,1.0,3yo plus,5.0,2189.0,3.25,4.000000000000002,5.0,133.0,a m balding,s de sousa,good,Fox Tal,sandown,eng,2.2153482,2.0,1.0,3.0
59104,44380129,13:50,coral charge (group 3) (registered as the sprint stakes),nan,1.0,3yo plus,10.0,1110.0000000000002,0.0,5.0,5.0,129.0,ed walker,tom marquand,good to soft,Came From The Dark,sandown,eng,4.122059,1.0,1.0,3.0
59119,44380130,14:25,coral challenge (handicap),nan,2.0,3yo plus,13.0,1760.0,2.4,5.499999999999998,5.0,131.0,w j haggas,a j farragher,good,Montatham,sandown,eng,0.97364146,5.0,1.0,3.0
59973,44383106,20:05,best odds guaranteed at bet365 handicap,nan,6.0,3yo only,8.0,1530.0,1.5,3.5,3.0,130.0,j c fox,thore hammer hansen,good to soft,Day Trader,brighton,eng,7.066653,4.0,1.0,3.0
59979,44383107,20:35,bet builder at bet365 handicap,nan,6.0,3yo only,9.0,1315.0,2.75,6.0,3.0,133.0,m botti,stefano cherchi,good to soft,Million Reasons,brighton,eng,3.6672497,2.0,1.0,3.0
60433,44384122,13:00,visit attheraces.com handicap,nan,6.0,3yo only,9.0,1980.0,4.25,4.000000000000002,3.0,126.0,h j evans,ellie mackenzie,heavy,Doonbeg Farmer,lingfield,eng,8.469963,2.0,1.0,3.0
60545,44384136,17:20,download the free at the races app handicap,nan,6.0,3yo plus,8.0,1543.0,4.0,4.5,7.0,129.0,c f wall,sebastian woods,good to firm,Hi Ho Silver,yarmouth,eng,5.1405144,4.0,1.0,3.0
60607,44384142,18:55,discover boyne valley handicap,nan,0.0,3yo plus,15.0,1540.0,0.5,4.5,7.0,125.0,k j condon,j m sheridan,good,Ice Cold In Alex,fairyhouse ,ire,4.9546537,2.0,1.0,3.0
60803,44385119,19:30,rubbing house handicap,nan,5.0,4yo plus,8.0,1543.0,2.15,3.3333329999999997,4.0,118.0,j r boyle,rhys clutterbuck,good to soft,Bonus,epsom downs,eng,4.273053,3.0,1.0,3.0
